Wall time,Step,Value
1550949047.7042773,10055,-0.7727965712547302
1550949047.9944522,10058,-1.1397900581359863
1550949051.6735895,10084,0.0
1550949054.8678582,10107,-1.1335991621017456
1550949057.7288287,10128,-1.2380174398422241
1550949059.9007764,10144,-1.2638672590255737
1550949063.128672,10168,-3.2709760665893555
1550949065.3800275,10185,-1.7920596599578857
1550949074.7288268,10256,-1.454983115196228
1550949077.4224532,10276,-1.4440151453018188
1550949078.4122424,10283,-0.8465544581413269
1550949094.04686,10396,-1.0559498071670532
1550949094.5157518,10399,0.0
1550949097.4474123,10420,-1.034816026687622
1550949098.0934308,10425,-1.4872435331344604
1550949105.8826911,10479,-1.3301334381103516
1550949107.2186935,10489,-1.7054632902145386
1550949107.7834957,10493,-2.622701406478882
1550949111.7296326,10522,-1.4480241537094116
1550949116.182778,10554,-0.5031033754348755
1550949116.4614577,10555,-1.8859286308288574
1550949122.196969,10598,-1.5214329957962036
1550949123.5058532,10607,-2.002394437789917
1550949125.7700946,10624,-0.2564123570919037
1550949126.4100134,10629,-2.3187055587768555
1550949127.5986278,10638,-2.7486791610717773
1550949129.7708533,10654,-1.323578119277954
1550949132.2198157,10671,-1.9632172584533691
1550949137.6935203,10711,-1.8744590282440186
1550949142.620002,10748,-4.8082709312438965
1550949143.8096192,10757,-0.8587311506271362
1550949143.90363,10758,-1.7528104782104492
1550949146.979591,10780,-0.923112690448761
1550949148.0152102,10787,-0.6044442653656006
1550949151.8057377,10815,-0.9965667724609375
1550949153.059665,10825,-0.4599311649799347
1550949153.6866593,10830,-1.6403942108154297
1550949155.2127914,10841,-0.11045826226472855
1550949156.4039838,10850,-1.0728421211242676
1550949158.3945196,10864,-1.2306476831436157
1550949163.428223,10902,-0.9718211889266968
1550949163.8931496,10905,-1.922052025794983
1550949168.710385,10939,-0.9548824429512024
1550949169.2475457,10943,-0.6438051462173462
1550949172.209454,10966,-1.3495702743530273
1550949173.0989182,10972,-2.0066235065460205
1550949173.28773,10974,-0.29864010214805603
1550949178.8649049,11014,-9.795494079589844
1550949179.7006252,11020,-1.73557710647583
1550949181.4008253,11033,-2.8017640113830566
1550949182.0440373,11038,-1.129539132118225
1550949190.622327,11102,-0.9716710448265076
1550949193.406316,11121,-0.9907054901123047
1550949194.7700355,11130,-2.668229103088379
1550949197.3942027,11148,-1.3017017841339111
1550949201.0950148,11175,-0.8508461713790894
1550949204.122141,11198,-1.0160564184188843
1550949204.502465,11200,-1.1960411071777344
1550949204.5984993,11201,-0.7983234524726868
1550949212.6753664,11260,-1.1279278993606567
1550949214.2901363,11272,-2.3605141639709473
1550949219.3917987,11310,-1.065384864807129
1550949226.3601615,11361,-1.6469916105270386
1550949234.3832479,11419,-1.0682322978973389
1550949239.3955343,11455,-1.3948395252227783
1550949241.7333283,11472,-1.2535121440887451
1550949244.6343193,11492,-1.4477452039718628
1550949249.0169737,11523,-2.957113742828369
1550949250.2529533,11532,-1.8677561283111572
1550949252.5116823,11549,-1.0381356477737427
1550949253.621751,11557,-1.8719874620437622
1550949254.805221,11566,-2.79641056060791
1550949259.0595376,11597,-1.4228399991989136
1550949264.353029,11636,-1.097282886505127
1550949265.9945412,11648,-1.2165194749832153
1550949267.6067781,11660,-3.1594598293304443
1550949269.1511848,11671,-2.763824701309204
1550949271.361113,11685,-2.2149462699890137
1550949271.7145376,11687,-4.290185451507568
1550949276.7462,11723,-2.718140125274658
